inputID,measures,speakerDependentPrecision_N,speakerDependentPrecision_I,speakerDependentRecall_N,speakerDependentRecall_I,speakerDependentF1_N,speakerDependentF1_I,speakerDependentAccuracy,oldSplitPrecision_N,oldSplitPrecision_I,oldSplitRecall_N,oldSplitRecall_I,oldSplitF1_N,oldSplitF1_I,oldSplitAccuracy,newSplitPrecision_N,newSplitPrecision_I,newSplitRecall_N,newSplitRecall_I,newSplitF1_N,newSplitF1_I,newSplitAccuracy
PCs_feats_percentChunks,hnr,0.70004255,0.68627809,0.67480112,0.70954806,0.68645289,0.69712874,0.6921893198639046,0.70323962,0.52667668,0.68704106,0.58062396,0.65797804,0.48735541,0.5975893238983699,0.63409038,0.59516025,0.69710818,0.52222291,0.64979035,0.53666887,0.602320310111029
PCs_feats_percentChunks,"hnr, mfcc",0.70920016,0.71878046,0.72299566,0.70302122,0.7152987,0.71003363,0.7130113378214985,0.70528103,0.54182562,0.72018568,0.53752996,0.70031328,0.51716295,0.6558739213345383,0.65401926,0.591805,0.67293005,0.57410935,0.65322724,0.57122813,0.6204818889954831
PCs_feats_percentChunks,"hnr, plp",0.72188294,0.69713375,0.67789686,0.739165,0.69895557,0.71734739,0.7085352588341328,0.69392752,0.50891674,0.72114359,0.49512333,0.69595654,0.48419322,0.6492229607872814,0.65899279,0.60356646,0.70391517,0.55151975,0.68011753,0.57474642,0.6475887250600688
PCs_feats_percentChunks,"hnr, mfcc, plp",0.71719916,0.72201697,0.72470737,0.71268698,0.72019456,0.71654278,0.7186863163253678,0.70046586,0.582228,0.76545668,0.50987522,0.71089015,0.50423398,0.6515360676146658,0.65456087,0.60150486,0.6991118,0.55895927,0.67163535,0.57529776,0.6342713367373294
PCs_feats_percentChunks,mfcc,0.70861744,0.71620198,0.71987449,0.70406279,0.71391183,0.70976341,0.7119758236976897,0.70328265,0.59209115,0.78452536,0.51845995,0.72587664,0.51370589,0.6710624954796557,0.65660034,0.594557,0.67188452,0.58079157,0.66218293,0.58557283,0.636175898144039
PCs_feats_percentChunks,"mfcc, plp",0.72346899,0.70061983,0.6840913,0.73811771,0.70293901,0.71863947,0.7111146465236946,0.69512867,0.55073295,0.76069834,0.49380056,0.71027003,0.487733,0.6533149631822769,0.65994521,0.60579416,0.69770159,0.56663682,0.67765857,0.58471485,0.6457971663836094
PCs_feats_percentChunks,plp,0.71873347,0.69224965,0.66790638,0.736399,0.68994593,0.71167725,0.7021669283694167,0.70423637,0.55515038,0.7265485,0.55972167,0.70537368,0.53954279,0.6664744088370967,0.66082195,0.58023015,0.65666676,0.57747465,0.65792393,0.57807,0.6378782410580386
PCs_feats_percentChunks,f0,0.67564457,0.67096609,0.66378267,0.68168462,0.66910428,0.67578062,0.6727471981033086,0.70332282,0.52083072,0.68283355,0.58778746,0.66382573,0.49905094,0.6058717934638531,0.64983798,0.591829,0.68250146,0.56358323,0.66050332,0.57218196,0.6247168892676576
ComParE_percentChunks_text,"f0, hnr",0.73670202,0.73135818,0.7264593,0.73710157,0.72960446,0.73268722,0.7317643994476863,0.62287881,0.412091,0.77692872,0.384107,0.66909102,0.36048471,0.6321230651827529,0.69351153,0.67156584,0.75367373,0.60423417,0.70837321,0.61611551,0.6692698510889926
ComParE_percentChunks_text,"f0, mfcc",0.65664671,0.68620893,0.81551538,0.51267456,0.71480568,0.55021012,0.6641617692980496,0.69125348,0.47152276,0.81995265,0.41869589,0.73029859,0.41702953,0.6604854746819951,0.65939008,0.62060495,0.76184541,0.507363,0.70155294,0.54261535,0.6528236541573416
