,Name,Speaker,Irony,parseltonguef0,reaperf0
490,PPep12_p112_I,P,i,293.1466215355708,288.235291
491,PPep12_p112_I,P,i,293.5230548652526,290.131592
492,PPep12_p112_I,P,i,294.2482314942484,295.973145
493,PPep12_p112_I,P,i,295.64977026539293,292.052979
494,PPep12_p112_I,P,i,297.9929252626057,260.946747
495,PPep12_p112_I,P,i,299.73339038407653,237.096771
496,PPep12_p112_I,P,i,300.17231532162015,227.31958
497,PPep12_p112_I,P,i,300.09606842325275,227.31958
498,PPep12_p112_I,P,i,299.7489571770654,249.152542
499,PPep12_p112_I,P,i,299.21184836849903,249.152542
500,PPep12_p112_I,P,i,298.5494595142055,277.35849
501,PPep12_p112_I,P,i,297.8714127033043,286.363647
502,PPep12_p112_I,P,i,297.4056966482225,286.363647
503,PPep12_p112_I,P,i,297.4331790064566,292.052979
504,PPep12_p112_I,P,i,298.06629828839596,304.137939
505,PPep12_p112_I,P,i,299.04981332392464,304.137939
506,PPep12_p112_I,P,i,299.9884124059432,302.05481
507,PPep12_p112_I,P,i,300.6887568379894,302.05481
508,PPep12_p112_I,P,i,301.12458806925395,292.052979
509,PPep12_p112_I,P,i,301.3299854134593,292.052979
510,PPep12_p112_I,P,i,301.31526802322503,300.0
511,PPep12_p112_I,P,i,301.13852634886064,300.0
512,PPep12_p112_I,P,i,300.93501580720357,279.113922
513,PPep12_p112_I,P,i,300.85238312404755,284.516144
514,PPep12_p112_I,P,i,302.56487040480386,302.05481
515,PPep12_p112_I,P,i,322.9658620430543,NaN
516,PPep12_p112_I,P,i,345.22481583178126,NaN
517,PPep12_p112_I,P,i,349.9867545126917,NaN
518,PPep12_p112_I,P,i,350.6390473759717,NaN
519,PPep12_p112_I,P,i,350.43069889905485,NaN
520,PPep12_p112_I,P,i,349.95882584771624,NaN
